445;Livre adulte;41;L'identit malheureuse [Texte imprim];Finkielkraut, Alain
453;DVD tous publics;41;D'une vie  l'autre [Images animes];
454;DVD tous publics;41;Transcendance [Images animes];
456;DVD tous publics;40;The fall. Saison 2 [Images animes];
467;Livre adulte;40;L'lue : roman;Cass, Kiera
483;Bande dessine jeunesse;38;Seuls. 2. Le matre des couteaux [Texte imprim];Gazzotti, Bruno
488;Livre adulte;38;Vegan;Laforet, Marie
500;CD adulte;37;Elor [Enregistrement sonore];Dominique A
506;Livre jeunesse;37;La guerre des clans : le pouvoir des toiles. 2. Rivire noire;Hunter, Erin
507;;37;Vert meraude;Gier, Kerstin
522;Livre adulte;36;Mauvaise fille;Lvy, Justine
524;Nouveaut;36;Nymphas noirs : roman;Bussi, Michel
528;DVD tous publics;36;Moi, moche et mchant 2 [Images animes];
536;Nouveaut;36;La voix de la Terre [Texte imprim];Werber, Bernard
541;DVD tous publics;36;La danza de la realidad [Images animes];
550;DVD tous publics;35;La nuit au muse [Images animes];Levy, Shawn
558;;35;Un t  Osage County [Images animes];
562;Livre adulte;35;Karpathia [Texte imprim];Menegoz, Mathias
582;Livre adulte;34;Et n'oublie pas d'tre heureux [Texte imprim] : abcdaire de psychologie positive;Andr, Christophe
586;Bande dessine jeunesse;34;Naruto [Texte imprim]. 64;Kishimoto, Masashi
509;Livre adulte;37;Italie du Sud [Texte imprim] : sans Rome ni la Sicile : 2014;Gloaguen, Philippe
510;Livre adulte;37;Andalousie [Texte imprim] : 2014;Gloaguen, Philippe
518;Livre adulte;36;Ne tirez pas sur l'oiseau moqueur [Texte imprim] : roman;Lee, Harper
521;Revue adulte;36;Le Point [texte imprim];
526;Nouveaut;36;Le vieux qui ne voulait pas fter son anniversaire : roman;Jonasson, Jonas
532;DVD > 12 ans;36;A Touch of Sin [Images animes];
537;Livre adulte;36;Tromper la mort [Texte imprim];Rivire, Maryse
548;Livre adulte;35;L'art de la joie [Texte imprim];Sapienza, Goliarda
552;Revue adulte;35;60 millions de consommateurs [texte imprim] : le magazine sans publicit;
555;Numrique et multimdia adulte;35;Liseuse Sony 3 Louvre [Ressource lectronique];
559;Livre adulte;35;Pass imparfait [Texte imprim];Fellowes, Julian
560;DVD tous publics;35;Barbecue [Images animes];
566;Livre adulte;35;Italie du Nord [Texte imprim] : 2015 : sans les lacs italiens, Venise et Milan;Gloaguen, Philippe
569;Nouveaut;35;Les luminaires [Texte imprim];Catton, Eleanor
578;DVD tous publics;34;Breaking bad [Images animes] : saison 3 ; Bryan Cranston, Aaron Paul act.
590;;34;La bibliothque des coeurs cabosss [Texte imprim];Bivald, Katarina
591;Livre adulte;34;Lisbonne [texte imprim];Gloaguen, Philippe
598;Bande dessine jeunesse;33;Aya de Yopougon. 6;Abouet, Marguerite
605;DVD tous publics;33;Elle s'en va [Images animes];
615;;33;Les vnements [Texte imprim];Rolin, Jean
620;DVD nouveauts tous publics;32;Respire [Images animes];
622;DVD tous publics;32;Kiki la petite sorcire [Images animes];Miyazaki, Hayao
624;Bande dessine ado;32;Mortebouse [Texte imprim];Neel, Julien
628;Livre adulte;32;60 activits Montessori pour mon bb : 0-2 ans : prparer son univers, l'veiller et l'aider  faire seul;Place, Marie-Hlne
636;DVD tous publics;32;Homeland. intgrale de la saison 3. pisodes 7  12 [Images animes];
653;Livre adulte;31;Retour  Reims [Texte imprim];Eribon, Didier
655;Bande dessine jeunesse;31;Au coeur du maelstrm;Vehlmann, Fabien
658;Livre jeunesse;31;Harry Potter et l'ordre du Phnix;Rowling, Joanne Kathleen
667;Bande dessine jeunesse;31;Chi, une vie de chat [Texte imprim]. 10;Konami, Kanata
669;Nouveaut;31;Price [Texte imprim];Tesich, Steve
675;DVD tous publics;31;Adieu au langage [Images animes];
677;CD adulte;31;Black Messiah [enregistrement sonore];
684;Bande dessine adulte;30;Maus [Texte imprim] : un survivant raconte;Spiegelman, Art
685;DVD tous publics;30;Le ballon blanc [Images animes];Panahi, Jafar
688;DVD tous publics;30;Breaking bad. Saison 1. pisodes 1  6 [Images animes];
692;Bande dessine jeunesse;30;Un namour de sister;Maury, William
694;Bande dessine adulte;30;Magasin gnral. 8 [Texte imprim];Loisel, Rgis
696;Livre adulte;30;Berlin : 2013;Gloaguen, Philippe
701;Livre adulte;30;Crte [Texte imprim] : 2014-2015;Gloaguen, Philippe
710;Bande dessine ado;29;Naruto. 2 [Texte imprim];Kishimoto, Masashi
711;Bande dessine adulte;29;Quai d'Orsay : chroniques diplomatiques. 1;Blain, Christophe
714;Nouveaut;29;Petite Poucette : le monde a tellement chang que les jeunes doivent tout rinventer : une manire de vivre ensemble, des institutions, une manire d'tre et de connatre...;Serres, Michel
717;Bande dessine jeunesse;29;La reine du collge;Tessier, Grgory
720;CD jeunesse;29;Lve [Enregistrement sonore];Dor, Julien
722;DVD tous publics;29;Michael Kohlhaas [Images animes];
723;Livre adulte;29;Californie [Texte imprim] : 2014;Gloaguen, Philippe
727;Livre adulte;29;Rome [texte imprim];Garwood, Duncan
728;DVD tous publics;29;The Spectacular Now [Images animes];
733;DVD tous publics;29;La belle vie [Images animes];
734;DVD tous publics;29;22 Jump Street [Images animes];
743;Livre adulte;28;Les cureuils de Central Park sont tristes le lundi : roman [Texte imprim];Pancol, Katherine
746;Livre jeunesse;28;Le feuilleton de Thse : la mythologie grecque en cent pisodes;Szac, Murielle
747;Livre jeunesse;28;Le hros perdu;Riordan, Rick
751;;28;Un prince  croquer. 2. Plat;Lyfoung, Patricia
752;Livre adulte;28;Rome [Texte imprim] : 2014;Gloaguen, Philippe
755;Nouveaut;28;L'appel du coucou [Texte imprim];Galbraith, Robert
758;Bande dessine jeunesse;28;Blue spring ride [Texte imprim]. 5;Sakisaka, Io
761;Nouveaut;28;L'alle du sycomore [Texte imprim];Grisham, John
765;Livre adulte;28;L'le du Point Nmo [Texte imprim];Blas de Robls, Jean-Marie
768;Livre adulte;28;Du sang sur la Baltique [Texte imprim] : roman;Sten, Viveca
770;Livre adulte;28;Attaquer le soleil [texte imprim] : [Exposition, Paris, Muse d'Orsay, 14 octobre 2014-25 janvier 2015];
781;Livre ado;27;After. 3. After we fell;Todd, Anna
794;Livre adulte;27;Petit trait de manipulation  l'usage des honntes gens [Texte imprim];Joule, Robert-Vincent
801;Bande dessine jeunesse;27;Un couple d'enfer;Delaf
805;Bande dessine jeunesse;27;Les trois baudets;Guibert, Emmanuel
808;Livre jeunesse;27;Pnombre [Texte imprim] : le pouvoir des toiles;Hunter, Erin
811;DVD tous publics;27;Downton Abbey. Saison 3. Episodes 1  5 [Images animes];
814;Livre adulte;27;Pays basque (France, Espagne), Barn [Texte imprim] : 2014-2015;Gloaguen, Philippe
818;Livre adulte;27;Terminus radieux [Texte imprim];Volodine, Antoine
823;Livre adulte;27;Permaculture [Texte imprim] : gurir la Terre, nourrir les hommes;Herv-Gruyer, Perrine
824;CD adulte;27;Nothing has changed [Enregistrement sonore];Bowie, David
827;DVD jeunesse;26;Si tu tends l'oreille Mimi wo sumaseba [Images animes];
830;Bande dessine ado;26;Aux prises avec baggy et ses hommes ! [Texte imprim];Oda, Eiichiro
835;Livre jeunesse;26;Crpuscule;Hunter, Erin
839;;26;Le grand Coeur [Texte imprim] : roman;Rufin, Jean-Christophe
840;CD adulte;26;Moonrise Kingdom [Images animes];
